date,completion_rate
1122,0.18
1123,0.92
1124,1.43
1125,1.42
1126,0.16
1127,1.96
1128,1.13
1129,0.02
1130,1.7
1131,0.14
1132,1.49
1133,0.56
1134,1.66
1135,1.83
1136,0.16
1137,0.61
1138,0.65
1139,1.31
1140,1.99
1141,0.5
1142,1.65
1143,0.9
1144,0.3
1145,0.3
1146,0.41
1147,1.28
1148,0.01
1149,1.93
1150,1.45
1151,0.46
1152,0.14
1153,0.08
1154,1.53
1155,1.9
1156,1.18
1157,0.15
1158,0.01
1159,0.74
1160,1.36
1161,2.0
1162,1.5
1163,1.32
1164,0.49
1165,1.63
1166,1.58
1167,1.16
1168,0.34
1169,0.44
1170,1.52
1171,1.64
1172,1.86
1173,0.62
1174,1.83
1175,1.38
1176,1.55
1177,1.85
1178,1.02
1179,1.42
1180,0.54
1181,1.82
1182,1.8
1183,1.5
1184,0.62
1185,1.51
1186,0.85
1187,1.35
1188,0.29
1189,1.77
1190,1.27
1191,1.82
1192,0.57
1193,0.33
1194,0.76
1195,1.14
1196,1.05
1197,1.89
1198,0.25
1199,0.24
1200,0.92
1201,1.66
1202,0.34
1203,1.65
1204,0.7
1205,1.59
1206,0.95
1207,1.72
1208,1.59
1209,0.8
1210,0.62
1211,0.61
1212,1.07
1213,0.7
1214,0.57
1215,1.27
1216,0.74
1217,0.31
1218,1.41
1219,1.28
1220,1.01
1221,0.98
1222,2.0
1223,1.09
1224,1.62
1225,0.27
1226,1.96
1227,1.84
1228,0.96
1229,1.32
1230,0.89
1231,1.27
1232,1.76
1233,0.04
1234,1.97
1235,1.13
1236,0.01
1237,0.29
1238,0.09
1239,0.86
1240,0.2
1241,0.57
1242,1.12
1243,0.58
1244,1.18
1245,0.6
1246,0.75
1247,1.05
1248,0.67
1249,0.7
1250,0.92
1251,0.32
1252,1.61
1253,0.01
1254,0.14
1255,1.32
1256,1.45
1257,0.22
1258,1.63
1259,1.74
1260,0.49
1261,1.75
1262,1.31
1263,0.93
1264,0.29
1265,0.03
1266,0.26
1267,1.14
1268,1.45
1269,0.03
1270,1.05
1271,1.97
1272,0.46
1273,1.72
1274,0.81
1275,1.13
1276,0.31
1277,0.33
1278,0.87
1279,1.17
1280,1.82
1281,1.14
1282,0.69
1283,0.58
1284,0.99
1285,1.37
1286,0.96
1287,0.27
1288,1.31
1289,0.67
1290,0.21
1291,1.65
1292,0.36
1293,0.22
1294,1.55
1295,1.92
1296,0.75
1297,1.6
1298,1.54
1299,1.06
1300,1.22
1301,0.36
1302,0.83
1303,1.54
1304,0.9
1305,0.63
1306,1.46
1307,0.73
1308,0.7
1309,1.75
1310,0.33
1311,0.92
1312,0.73
1313,1.4
1314,0.46
1315,1.43
1316,1.21
1317,1.86
1318,1.58
1319,0.31
1320,0.1
1321,1.94
1322,1.62
1323,1.0
1324,2.0
1325,1.33
1326,1.24
1327,1.44
1328,1.57
1329,1.99
1330,1.7
1331,0.94
1332,2.0
1333,0.09
1334,0.31
1335,0.45
1336,0.88
1337,0.16
1338,0.0
1339,1.18
1340,0.67
1341,1.55
1342,0.74
1343,0.99
1344,0.78
1345,1.93
1346,0.5
1347,1.98
1348,1.41
1349,0.01
1350,0.04
1351,1.18
1352,0.53
1353,0.59
1354,0.11
1355,0.23
1356,0.99
1357,0.16
1358,1.84
1359,1.15
1360,0.97
1361,0.96
1362,0.27
1363,1.85
1364,1.11
1365,1.62
1366,1.56
1367,0.19
1368,0.09
1369,0.41
1370,0.9
1371,1.19
1372,0.22
1373,1.56
1374,0.37
1375,0.79
1376,1.24
1377,0.21
1378,0.55
1379,0.01
1380,1.88
1381,1.97
1382,0.2
1383,1.36
1384,1.24
1385,0.5
1386,0.86
1387,0.81
1388,0.61
1389,0.96
1390,0.66
1391,0.25
1392,1.13
1393,0.03
1394,1.49
1395,1.88
1396,1.19
1397,0.74
1398,0.69
1399,1.61
1400,0.25
1401,0.89
1402,1.33
1403,0.57
1404,0.03
1405,1.23
1406,0.63
1407,0.26
1408,0.59
1409,0.66
1410,1.35
1411,1.82
1412,0.62
1413,1.98
1414,1.55
1415,0.42
1416,0.11
1417,1.16
1418,0.92
1419,0.88
1420,1.72
1421,1.02
1422,1.29
1423,0.98
1424,1.25
1425,1.47
1426,0.17
1427,1.99
1428,1.24
1429,1.96
1430,0.69
1431,1.33
1432,0.53
1433,0.71
1434,1.55
1435,1.82
1436,0.0
1437,0.57
1438,1.03
1439,0.38
1440,1.1
1441,0.93
1442,1.7
1443,0.35
1444,0.36
1445,0.71
1446,0.49
1447,1.76
1448,1.52
1449,1.84
1450,0.02
1451,1.14
1452,1.83
1453,1.34
1454,0.16
1455,1.36
1456,0.23
1457,0.22
1458,1.17
1459,1.88
1460,0.29
1461,0.81
1462,0.74
1463,0.27
1464,0.99
1465,1.53
1466,1.48
1467,0.44
1468,1.72
1469,0.41
1470,0.14
1471,1.64
1472,0.41
1473,0.6
1474,1.49
1475,1.46
1476,1.73
1477,1.14
1478,0.19
1479,0.34
1480,1.3
1481,1.94
1482,0.46
1483,1.1
1484,1.51
1485,1.43
1486,1.96
1487,1.08
1488,1.22
1489,0.84
1490,0.52
1491,1.69
1492,0.53
1493,0.44
1494,0.41
1495,0.09
1496,0.77
1497,0.59
1498,1.33
1499,0.04
1500,0.75
1501,0.85
1502,1.26
1503,0.29
1504,0.07
1505,0.42
1506,1.6
1507,1.9
1508,0.47
1509,0.05
1510,1.86
1511,1.5
1512,0.64
1513,0.91
1514,0.26
1515,1.51
1516,1.76
1517,0.55
1518,1.87
1519,0.54
1520,0.56
1521,0.69
1522,0.15
1523,1.54
1524,0.26
1525,0.08
1526,1.82
1527,1.85
1528,0.26
1529,1.88
1530,0.47
1531,0.13
1532,1.77
1533,0.57
1534,0.02
1535,0.26
1536,0.63
1537,1.78
1538,0.69
1539,1.54
1540,1.8
1541,0.07
1542,1.34
1543,1.61
1544,1.19
1545,0.99
1546,0.82
1547,0.58
1548,0.63
1549,1.43
1550,1.05
1551,0.89
1552,0.54
1553,1.98
1554,1.43
1555,0.4
1556,1.88
1557,0.53
1558,0.99
1559,0.17
1560,1.54
1561,1.3
1562,1.15
1563,0.44
1564,0.59
1565,0.23
1566,0.01
1567,0.08
1568,1.24
1569,1.35
1570,0.63
1571,0.2
1572,0.22
1573,1.59
1574,1.81
1575,1.45
1576,1.23
1577,0.24
1578,0.03
1579,1.04
1580,1.65
1581,0.11
1582,0.89
1583,0.42
1584,0.76
1585,0.37
1586,1.17
1587,1.21
1588,0.15
1589,1.19
1590,1.37
1591,1.7
1592,1.06
1593,1.75
1594,1.72
1595,1.03
1596,1.32
1597,0.99
1598,1.22
1599,1.75
1600,0.7
1601,0.1
1602,1.57
1603,1.73
1604,0.5
1605,0.51
1606,0.79
1607,1.9
1608,0.48
1609,1.28
1610,0.1
1611,1.12
1612,1.04
1613,1.13
1614,0.21
1615,0.37
1616,1.66
1617,1.52
1618,1.85
1619,1.23
1620,0.75
1621,1.6
1622,0.54
1623,1.22
1624,0.17
1625,1.67
1626,1.79
1627,1.48
1628,1.77
1629,0.58
1630,1.73
1631,0.33
1632,1.55
1633,0.96
1634,0.09
1635,0.27
1636,0.65
1637,1.79
1638,1.07
1639,0.77
1640,0.38
1641,0.05
1642,1.08
1643,1.26
1644,0.21
1645,0.31
1646,1.3
1647,1.95
1648,0.87
1649,0.91
1650,1.59
1651,0.03
1652,1.53
1653,1.43
1654,1.86
1655,0.66
1656,0.83
1657,1.1
1658,0.08
1659,1.57
1660,1.79
1661,0.39
1662,0.7
1663,0.96
1664,1.17
1665,0.83
1666,1.44
1667,1.65
1668,0.34
1669,0.57
1670,0.82
1671,1.31
1672,1.2
1673,1.19
1674,1.05
1675,0.62
1676,0.51
1677,0.65
1678,0.01
1679,1.57
1680,1.44
1681,1.12
1682,2.0
1683,0.94
1684,0.1
1685,0.71
1686,1.97
1687,0.05
1688,0.66
1689,1.91
1690,1.04
1691,1.1
1692,1.02
1693,0.72
1694,1.48
1695,2.0
1696,1.83
1697,1.48
1698,0.76
1699,1.89
1700,1.47
1701,0.31
1702,0.47
1703,1.46
1704,0.19
1705,1.88
1706,0.43
1707,0.68
1708,0.82
1709,0.78
1710,0.97
1711,0.9
1712,0.74
1713,0.26
1714,1.41
1715,0.2
1716,1.67
1717,1.97
1718,0.58
1719,1.37
1720,1.46
1721,0.59
1722,0.22
1723,0.63
1724,1.47
1725,0.84
1726,1.8
1727,0.66
1728,1.51
1729,1.4
1730,1.14
1731,1.29
1732,0.25
1733,0.36
1734,1.55
1735,1.09
1736,0.17
1737,1.27
1738,1.28
1739,1.41
1740,0.15
1741,0.77
1742,1.67
1743,0.49
1744,0.73
1745,1.01
1746,1.27
1747,1.08
1748,1.68
1749,0.12
1750,1.89
1751,0.62
1752,0.31
1753,1.48
1754,1.59
1755,0.05
1756,0.12
1757,1.64
1758,0.07
1759,0.01
1760,1.0
1761,0.39
1762,0.38
1763,1.7
1764,0.67
1765,0.69
1766,0.54
1767,0.24
1768,1.88
1769,1.35
1770,0.81
1771,0.44
1772,1.41
1773,1.29
1774,1.52
1775,1.78
1776,0.8
1777,0.83
1778,0.48
1779,1.93
1780,0.1
1781,1.52
1782,0.08
1783,0.2
1784,0.93
1785,0.68
1786,1.71
1787,0.16
1788,0.54
1789,1.05
1790,1.26
1791,0.69
1792,1.91
1793,0.86
1794,0.69
1795,1.46
1796,0.34
1797,1.86
1798,0.46
1799,1.59
1800,0.17
1801,0.37
1802,1.64
1803,1.61
1804,1.05
1805,1.02
1806,1.48
1807,0.15
1808,1.54
1809,0.23
1810,1.92
1811,1.28
1812,1.09
1813,1.22
1814,0.25
1815,0.9
1816,0.11
1817,0.43
1818,0.41
1819,0.57
1820,0.43
1821,1.64
1822,0.26
1823,0.77
1824,0.29
1825,0.94
1826,1.05
1827,1.18
1828,0.55
1829,0.87
1830,1.73
1831,0.13
1832,0.94
1833,1.31
1834,1.26
1835,1.65
1836,0.8
1837,1.55
1838,1.1
1839,0.66
1840,0.35
1841,1.28
1842,0.71
1843,0.21
1844,1.56
1845,0.14
1846,0.25
1847,1.9
1848,0.25
1849,0.51
1850,1.61
1851,1.81
1852,0.95
1853,1.57
1854,0.96
1855,1.4
1856,0.1
1857,0.35
1858,1.85
1859,0.14
1860,1.41
1861,1.8
1862,0.15
1863,0.63
1864,1.58
1865,1.28
1866,1.04
1867,0.46
1868,0.14
1869,1.3
1870,1.89
1871,1.08
1872,0.14
1873,0.79
1874,1.1
1875,0.84
1876,0.66
1877,0.73
1878,0.3
1879,1.72
1880,1.66
1881,1.92
1882,0.21
1883,0.63
1884,0.78
1885,1.33
1886,1.36
1887,1.66
1888,1.75
1889,1.09
1890,1.26
1891,1.52
1892,1.81
1893,0.11
1894,1.42
1895,0.76
1896,0.35
1897,1.51
1898,1.01
1899,0.75
1900,1.0
1901,1.16
1902,1.4
1903,0.05
1904,0.13
1905,1.11
1906,0.56
1907,1.77
1908,1.8
1909,0.77
1910,0.84
1911,0.53
1912,0.16
1913,0.81
1914,0.36
1915,1.96
1916,1.87
1917,1.37
1918,0.26
1919,0.62
1920,1.93
1921,1.39
1922,0.92
1923,1.56
1924,0.34
1925,0.58
1926,0.19
1927,1.25
1928,1.67
1929,0.49
1930,1.75
1931,1.43
1932,1.24
1933,1.08
1934,1.26
1935,0.06
1936,0.55
1937,0.57
1938,1.63
1939,0.13
1940,0.62
1941,1.58
1942,0.55
1943,0.17
1944,1.26
1945,1.34
1946,1.94
1947,1.15
1948,1.8
1949,0.31
1950,0.7
1951,1.54
1952,1.86
1953,0.14
1954,1.61
1955,0.23
1956,2.0
1957,0.29
1958,0.01
1959,1.15
1960,1.35
1961,1.0
1962,1.44
1963,1.28
1964,0.54
1965,1.34
1966,1.7
1967,1.55
1968,1.22
1969,0.48
1970,1.9
1971,0.68
1972,0.18
1973,1.79
1974,0.69
1975,1.02
1976,1.38
1977,1.99
1978,0.82
1979,1.89
1980,0.56
1981,1.34
1982,0.02
1983,1.88
1984,0.69
1985,0.14
1986,1.08
1987,1.09
1988,0.57
1989,1.56
1990,0.27
1991,0.55
1992,0.05
1993,1.27
1994,1.27
1995,0.87
1996,1.19
1997,0.43
1998,1.87
1999,1.0
2000,0.08
2001,1.63
2002,1.54
2003,0.15
2004,1.61
2005,0.13
2006,0.21
2007,1.87
2008,1.9
2009,0.54
2010,1.21
2011,0.09
2012,0.17
2013,1.03
2014,0.8
2015,0.27
2016,1.26
2017,0.88
2018,0.38
2019,1.27
2020,0.82
2021,0.04
2022,0.43
2023,0.94
2024,1.84
2025,0.54
2026,1.37
2027,0.71
2028,0.93
2029,1.06
2030,1.95
2031,0.7
2032,0.82
2033,1.17
2034,0.85
2035,0.07
2036,1.56
2037,1.28
2038,1.77
2039,0.54
2040,0.0
2041,0.86
2042,0.7
2043,0.84
2044,0.29
2045,1.91
2046,1.56
2047,1.75
2048,0.48
2049,1.65
2050,0.43
2051,0.59
2052,0.63
2053,0.65
2054,0.93
2055,1.32
2056,0.04
2057,2.0
2058,1.53
2059,1.75
2060,1.73
2061,1.38
2062,0.82
2063,0.01
2064,1.61
2065,0.09
2066,1.14
2067,1.59
2068,0.09
2069,0.67
2070,1.09
2071,0.71
2072,0.51
2073,0.11
2074,1.69
2075,0.81
2076,1.73
2077,0.89
2078,1.96
2079,1.92
2080,1.21
2081,1.22
2082,1.42
2083,0.28
2084,1.03
2085,0.45
2086,0.92
2087,0.97
2088,0.49
2089,1.44
2090,1.11
2091,0.67
2092,0.72
2093,1.1
2094,0.14
2095,0.78
2096,0.2
2097,0.42
2098,0.62
2099,1.09
2100,1.21
2101,1.56
2102,0.93
2103,1.89
2104,1.61
2105,1.71
2106,0.1
2107,0.8
2108,0.69
2109,0.59
2110,1.77
2111,0.55
2112,0.08
2113,0.84
2114,1.2
2115,0.07
2116,1.59
2117,1.73
2118,0.24
2119,1.77
2120,1.28
2121,1.22
2122,1.84
2123,1.1
2124,0.34
2125,1.99
2126,0.72
2127,0.69
2128,0.5
2129,0.78
2130,1.17
2131,1.54
2132,1.93
2133,1.99
2134,1.35
2135,0.35
2136,1.45
2137,1.08
2138,0.65
2139,0.06
