date,object_time,complete_time,completion_rate
375,24,14,0.58
376,29,66,2.28
377,51,67,1.31
378,41,22,0.54
379,54,14,0.26
380,13,24,1.85
381,45,25,0.56
382,77,45,0.58
383,94,68,0.72
384,13,44,3.38
385,4,25,6.25
386,80,34,0.42
387,12,4,0.33
388,19,4,0.21
389,100,19,0.19
390,53,88,1.66
391,97,75,0.77
392,34,90,2.65
393,55,72,1.31
394,49,1,0.02
395,63,33,0.52
396,17,77,4.53
397,97,43,0.44
398,22,76,3.45
399,15,63,4.2
400,88,50,0.57
401,72,49,0.68
402,62,92,1.48
403,94,91,0.97
404,67,12,0.18
405,86,76,0.88
406,60,91,1.52
407,49,56,1.14
408,27,34,1.26
409,76,84,1.11
410,7,10,1.43
411,39,64,1.64
412,2,98,49.0
413,80,11,0.14
414,5,49,9.8
415,12,32,2.67
416,8,41,5.12
417,16,47,2.94
418,99,18,0.18
419,3,83,27.67
420,41,66,1.61
421,22,21,0.95
422,53,61,1.15
423,8,46,5.75
424,4,55,13.75
425,64,9,0.14
426,77,33,0.43
427,59,12,0.2
428,41,28,0.68
429,21,17,0.81
430,55,50,0.91
431,81,71,0.88
432,95,12,0.13
433,69,74,1.07
434,9,72,8.0
435,26,23,0.88
436,87,73,0.84
437,48,3,0.06
438,67,32,0.48
439,38,58,1.53
440,53,31,0.58
441,15,89,5.93
442,7,16,2.29
443,28,63,2.25
444,16,96,6.0
445,15,29,1.93
446,70,94,1.34
447,11,76,6.91
448,77,80,1.04
449,91,27,0.3
450,12,42,3.5
451,20,65,3.25
452,43,13,0.3
453,7,39,5.57
454,82,66,0.8
455,98,57,0.58
456,88,22,0.25
457,39,42,1.08
458,23,45,1.96
459,100,81,0.81
460,95,31,0.33
461,6,98,16.33
462,43,38,0.88
463,99,33,0.33
464,91,82,0.9
465,52,36,0.69
466,60,77,1.28
467,24,50,2.08
468,20,9,0.45
469,25,59,2.36
470,3,5,1.67
471,78,18,0.23
472,54,44,0.81
473,60,90,1.5
474,55,98,1.78
475,31,16,0.52
476,64,25,0.39
477,78,23,0.29
478,80,14,0.18
479,51,58,1.14
480,96,47,0.49
481,43,59,1.37
482,78,42,0.54
483,46,16,0.35
484,82,40,0.49
485,22,35,1.59
486,19,76,4.0
487,9,46,5.11
488,13,54,4.15
489,90,34,0.38
490,95,63,0.66
491,31,2,0.06
492,17,31,1.82
493,14,1,0.07
494,27,93,3.44
495,47,65,1.38
496,21,44,2.1
497,29,88,3.03
498,38,34,0.89
499,57,56,0.98
500,79,85,1.08
501,50,70,1.4
502,91,71,0.78
503,15,74,4.93
504,86,6,0.07
505,80,52,0.65
506,57,23,0.4
507,58,67,1.16
508,65,72,1.11
509,40,29,0.72
510,6,64,10.67
511,82,37,0.45
512,96,77,0.8
513,33,41,1.24
514,85,88,1.04
515,76,9,0.12
516,52,35,0.67
517,74,60,0.81
518,73,70,0.96
519,46,7,0.15
520,56,43,0.77
521,33,29,0.88
522,87,30,0.34
523,16,59,3.69
524,54,20,0.37
525,54,10,0.19
526,10,26,2.6
527,97,46,0.47
528,10,59,5.9
529,2,87,43.5
530,69,16,0.23
531,42,91,2.17
532,36,3,0.08
533,94,7,0.07
534,42,92,2.19
535,26,60,2.31
536,73,68,0.93
537,18,69,3.83
538,41,91,2.22
539,7,78,11.14
540,35,16,0.46
541,79,42,0.53
542,64,89,1.39
543,83,29,0.35
544,7,86,12.29
545,27,39,1.44
546,93,88,0.95
547,49,63,1.29
548,15,38,2.53
549,74,97,1.31
550,64,77,1.2
551,32,91,2.84
552,89,31,0.35
553,74,95,1.28
554,68,15,0.22
555,29,31,1.07
556,8,45,5.62
557,41,92,2.24
558,97,91,0.94
559,54,54,1.0
560,84,24,0.29
561,91,32,0.35
562,75,74,0.99
563,36,96,2.67
564,42,66,1.57
565,70,63,0.9
566,80,32,0.4
567,3,84,28.0
568,5,3,0.6
569,70,64,0.91
570,74,34,0.46
571,34,53,1.56
572,84,23,0.27
573,61,70,1.15
574,4,1,0.25
575,29,29,1.0
576,81,81,1.0
577,48,26,0.54
578,54,36,0.67
579,62,86,1.39
580,65,86,1.32
581,30,46,1.53
582,74,31,0.42
583,50,32,0.64
584,52,43,0.83
585,98,7,0.07
586,38,62,1.63
587,61,24,0.39
588,54,35,0.65
589,29,4,0.14
590,78,60,0.77
591,20,53,2.65
592,95,0,0.0
593,23,100,4.35
594,26,76,2.92
595,85,11,0.13
596,63,45,0.71
597,18,42,2.33
598,50,19,0.38
599,44,12,0.27
600,53,66,1.25
601,89,79,0.89
602,96,29,0.3
603,84,76,0.9
604,6,65,10.83
605,73,27,0.37
606,93,79,0.85
607,65,26,0.4
608,92,77,0.84
609,68,48,0.71
610,27,99,3.67
611,89,57,0.64
612,23,57,2.48
613,86,81,0.94
614,38,23,0.61
615,52,13,0.25
616,73,16,0.22
617,75,3,0.04
618,30,92,3.07
619,28,12,0.43
620,26,10,0.38
621,56,1,0.02
622,99,50,0.51
623,88,48,0.55
624,15,56,3.73
625,33,15,0.45
626,29,24,0.83
627,22,5,0.23
628,23,96,4.17
629,58,91,1.57
630,5,77,15.4
631,10,7,0.7
632,78,88,1.13
633,35,33,0.94
634,17,25,1.47
635,35,7,0.2
636,14,95,6.79
637,72,28,0.39
638,73,57,0.78
639,18,97,5.39
640,52,59,1.13
641,6,99,16.5
642,17,7,0.41
643,47,34,0.72
644,92,2,0.02
645,7,41,5.86
646,78,82,1.05
647,46,1,0.02
648,84,60,0.71
649,12,40,3.33
650,14,65,4.64
651,57,0,0.0
652,19,72,3.79
653,45,1,0.02
654,86,69,0.8
655,39,53,1.36
656,18,89,4.94
657,29,32,1.1
658,61,6,0.1
659,61,93,1.52
660,59,77,1.31
661,46,98,2.13
662,95,88,0.93
663,9,23,2.56
664,60,18,0.3
665,63,8,0.13
666,54,82,1.52
667,67,77,1.15
668,21,49,2.33
669,20,12,0.6
670,41,6,0.15
671,89,30,0.34
672,73,6,0.08
673,76,12,0.16
674,90,42,0.47
675,32,31,0.97
676,10,79,7.9
677,22,29,1.32
678,26,99,3.81
679,97,71,0.73
680,11,28,2.55
681,10,67,6.7
682,62,14,0.23
683,62,93,1.5
684,46,5,0.11
685,9,90,10.0
686,62,34,0.55
687,86,77,0.9
688,18,85,4.72
689,56,8,0.14
690,72,90,1.25
691,12,59,4.92
692,3,23,7.67
693,34,96,2.82
694,28,36,1.29
695,16,84,5.25
696,78,68,0.87
697,12,100,8.33
698,87,96,1.1
699,45,32,0.71
700,71,13,0.18
701,8,14,1.75
702,7,34,4.86
703,100,29,0.29
704,100,71,0.71
705,90,33,0.37
706,75,73,0.97
707,69,97,1.41
708,11,47,4.27
709,66,67,1.02
710,13,35,2.69
711,97,70,0.72
712,61,65,1.07
713,14,21,1.5
714,79,48,0.61
715,41,46,1.12
716,6,78,13.0
717,10,82,8.2
718,21,94,4.48
719,81,13,0.16
720,78,62,0.79
721,69,26,0.38
722,86,29,0.34
723,34,30,0.88
724,47,36,0.77
725,26,61,2.35
726,75,47,0.63
727,65,92,1.42
728,9,40,4.44
729,55,32,0.58
730,60,5,0.08
731,85,80,0.94
732,66,22,0.33
733,49,97,1.98
734,79,73,0.92
735,57,97,1.7
736,36,82,2.28
737,50,72,1.44
738,11,83,7.55
739,84,18,0.21
740,51,47,0.92
741,68,53,0.78
742,27,9,0.33
743,6,53,8.83
744,39,83,2.13
745,88,38,0.43
746,97,78,0.8
747,56,86,1.54
748,67,32,0.48
749,46,26,0.57
750,5,66,13.2
751,12,3,0.25
752,91,49,0.54
753,5,67,13.4
754,20,72,3.6
755,59,86,1.46
756,36,57,1.58
757,54,27,0.5
758,70,58,0.83
759,14,37,2.64
760,95,83,0.87
761,87,69,0.79
762,68,75,1.1
763,16,7,0.44
764,82,87,1.06
765,56,52,0.93
766,85,73,0.86
767,76,40,0.53
768,62,18,0.29
769,21,94,4.48
770,85,83,0.98
771,87,96,1.1
772,31,18,0.58
773,49,54,1.1
774,44,23,0.52
775,56,5,0.09
776,12,52,4.33
777,7,97,13.86
778,44,68,1.55
779,10,47,4.7
780,74,40,0.54
781,70,46,0.66
782,55,50,0.91
783,45,77,1.71
784,81,57,0.7
785,66,1,0.02
786,33,73,2.21
787,35,76,2.17
788,99,41,0.41
789,14,10,0.71
790,74,78,1.05
791,83,51,0.61
792,52,30,0.58
793,92,57,0.62
794,84,19,0.23
795,31,54,1.74
796,80,90,1.12
797,68,54,0.79
798,83,74,0.89
799,60,55,0.92
800,67,78,1.16
801,55,74,1.35
802,69,26,0.38
803,21,11,0.52
804,4,32,8.0
805,7,99,14.14
806,14,45,3.21
807,49,94,1.92
808,47,49,1.04
809,2,34,17.0
810,59,27,0.46
811,91,34,0.37
812,78,85,1.09
813,92,92,1.0
814,17,96,5.65
815,8,85,10.62
816,93,45,0.48
817,76,29,0.38
818,30,74,2.47
819,90,81,0.9
820,78,72,0.92
821,70,23,0.33
822,7,6,0.86
823,78,49,0.63
824,4,58,14.5
825,80,73,0.91
826,53,85,1.6
827,5,69,13.8
828,44,7,0.16
829,55,74,1.35
830,75,32,0.43
831,94,45,0.48
832,15,72,4.8
833,21,4,0.19
834,63,100,1.59
835,68,14,0.21
836,26,65,2.5
837,36,24,0.67
838,42,52,1.24
839,48,52,1.08
840,16,38,2.38
841,61,84,1.38
842,60,79,1.32
843,43,86,2.0
844,6,84,14.0
845,28,11,0.39
846,72,28,0.39
847,2,27,13.5
848,8,2,0.25
849,85,41,0.48
850,15,72,4.8
851,57,100,1.75
852,68,88,1.29
853,39,33,0.85
854,22,99,4.5
855,47,49,1.04
856,97,9,0.09
857,73,18,0.25
858,26,51,1.96
859,86,97,1.13
860,97,69,0.71
861,65,18,0.28
862,78,29,0.37
863,50,57,1.14
864,90,66,0.73
865,54,42,0.78
866,85,63,0.74
867,7,21,3.0
868,3,94,31.33
869,34,84,2.47
870,66,79,1.2
871,7,47,6.71
872,12,18,1.5
873,53,56,1.06
874,56,64,1.14
875,14,70,5.0
876,13,15,1.15
877,43,18,0.42
878,94,90,0.96
879,42,82,1.95
880,91,96,1.05
881,10,51,5.1
882,92,4,0.04
883,33,56,1.7
884,20,51,2.55
885,99,34,0.34
886,74,47,0.64
887,81,29,0.36
888,98,78,0.8
889,73,39,0.53
890,54,19,0.35
891,67,95,1.42
892,57,35,0.61
893,84,61,0.73
894,62,61,0.98
895,70,10,0.14
896,26,75,2.88
897,2,92,46.0
898,20,79,3.95
899,69,14,0.2
900,79,72,0.91
901,31,6,0.19
902,32,86,2.69
903,85,83,0.98
904,33,100,3.03
905,73,63,0.86
906,82,67,0.82
907,97,36,0.37
908,39,44,1.13
909,67,64,0.96
910,37,5,0.14
911,39,78,2.0
912,26,57,2.19
913,8,51,6.38
914,43,99,2.3
915,53,61,1.15
916,79,27,0.34
917,65,40,0.62
918,37,49,1.32
919,62,21,0.34
920,84,49,0.58
921,22,44,2.0
922,70,84,1.2
923,26,94,3.62
924,32,79,2.47
925,35,55,1.57
926,13,52,4.0
927,63,80,1.27
928,74,66,0.89
929,97,86,0.89
930,99,59,0.6
931,79,69,0.87
932,15,53,3.53
933,83,6,0.07
934,9,44,4.89
935,23,31,1.35
936,54,80,1.48
937,49,67,1.37
938,19,15,0.79
939,32,81,2.53
940,44,2,0.05
941,24,61,2.54
942,84,89,1.06
943,94,68,0.72
944,100,12,0.12
945,33,1,0.03
946,17,4,0.24
947,90,46,0.51
948,37,51,1.38
949,30,81,2.7
950,72,99,1.38
951,42,97,2.31
952,21,90,4.29
953,1,45,45.0
954,60,29,0.48
955,38,97,2.55
956,43,85,1.98
957,73,14,0.19
958,5,30,6.0
959,72,28,0.39
960,43,26,0.6
961,63,93,1.48
962,98,17,0.17
963,92,3,0.03
964,68,38,0.56
965,65,87,1.34
966,38,33,0.87
967,20,52,2.6
968,46,2,0.04
969,95,54,0.57
970,96,63,0.66
971,32,38,1.19
972,65,24,0.37
973,15,0,0.0
974,99,53,0.54
975,42,73,1.74
976,82,57,0.7
977,3,37,12.33
978,37,10,0.27
979,46,3,0.07
980,94,8,0.09
981,73,19,0.26
982,28,84,3.0
983,13,11,0.85
984,23,31,1.35
985,76,5,0.07
986,61,41,0.67
987,87,13,0.15
988,88,29,0.33
989,5,11,2.2
990,38,51,1.34
991,68,68,1.0
992,11,23,2.09
993,92,10,0.11
994,77,55,0.71
995,71,60,0.85
996,67,55,0.82
997,33,67,2.03
998,66,46,0.7
999,27,96,3.56
